Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,SalePrice,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district
39m²,2 p.,1,595 000 €,"Paris 03 (75003)
Paris 3ème","Ref de l'annonce
:W-02J96T
Etage du bien
:2e
Nombre d'étages du bâtiment
:2
Nombre de salle de bain
:1",3,39,2,1,2,2,1,0,0,Unknown,0,0,595000,Small,0,0,0,1,3e
209m²,8 p.,4,2 290 000 €,Paris 18 (75018)|Jules Joffrin,"Ref de l'annonce
:202420RE6
Chauffage
:Individuel
Jardin
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:2",18,209,8,4,3,0,2,0,0,Individuel,0,0,2290000,Small,1,0,1,0,18e
96m²,4 p.,1,1 260 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02J1XP
Parking
Nombre d'étages du bâtiment
:7
Nombre de salle de bain
:1",16,96,4,1,7,0,1,0,0,Unknown,0,1,1260000,Average,1,0,0,0,16e
50m²,2 p.,1,730 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02J6AZ
Etage du bien
:3e
Nombre d'étages du bâtiment
:8
Meublé
Nombre de salle de bain
:1",1,50,2,1,8,3,1,0,0,Unknown,0,0,730000,Average,0,0,0,0,1e
51m²,2 p.,1,1 470 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02IFKQ
Terrasse/Balcon
:Terrasse
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:2",4,51,2,1,6,5,2,0,Terrasse,Unknown,0,0,1470000,Average,0,0,0,0,4e
62m²,3 p.,2,750 000 €,"Paris 14 (75014)
Paris 14ème","Ref de l'annonce
:W-02HR65
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:1",14,62,3,2,7,2,1,0,Balcon,Unknown,0,1,750000,Average,0,0,0,0,14e
114m²,1 p.,-1,275 000 €,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:W-02JANU
Etage du bien
:3e
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:1",10,114,1,0,3,3,1,0,0,Unknown,0,0,275000,Small,0,0,0,1,10e
73m²,5 p.,3,1 350 000 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:W-02J0JC
Nombre d'étages du bâtiment
:1
Nombre de salle de bain
:2",15,73,5,3,1,0,2,0,0,Unknown,0,0,1350000,Small,1,0,0,0,15e
49m²,4 p.,2,1 105 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02IBL8
Terrasse/Balcon
:Terrasse
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Nombre de salle de bain
:1",17,49,4,2,5,4,1,1,Terrasse,Unknown,0,0,1105000,Average,0,0,0,0,17e
121m²,2 p.,1,819 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02I53F
Etage du bien
:5e
Ascenseur
Nombre de salle de bain
:1",7,121,2,1,0,5,1,0,0,Unknown,0,0,819000,Average,0,0,0,0,7e
39m²,2 p.,1,540 000 €,"Paris 19 (75019)
Paris 19ème","Ref de l'annonce
:W-02FZIF
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:6e
Nombre d'étages du bâtiment
:8
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",19,39,2,1,8,6,1,0,Terrasse,Unknown,0,1,540000,Average,0,0,0,0,19e
28m²,4 p.,2,2 090 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02I10W
Terrasse/Balcon
:Balcon
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:2",7,28,4,2,6,3,2,0,Balcon,Unknown,0,0,2090000,Average,0,0,0,0,7e
87m²,2 p.,1,530 000 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:W-02J079
Etage du bien
:5e
Ascenseur
Nombre de salle de bain
:1",15,87,2,1,0,5,1,0,0,Unknown,0,0,530000,Average,0,0,0,0,15e
66m²,5 p.,3,1 700 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02ICAZ
Terrasse/Balcon
:Terrasse
Etage du bien
:3e
Nombre d'étages du bâtiment
:4
Nombre de salle de bain
:2",4,66,5,3,4,3,2,0,Terrasse,Unknown,0,0,1700000,Average,0,0,0,0,4e
120m²,1 p.,-1,750 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02J5G7
Terrasse/Balcon
:Terrasse
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",4,120,1,0,6,5,1,0,Terrasse,Unknown,0,0,750000,Average,0,0,0,0,4e
64m²,4 p.,3,1 190 000 €,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:W-02IYA0
Etage du bien
:1er
Ascenseur
Nombre de salle de bain
:2",11,64,4,3,0,1,2,0,0,Unknown,0,0,1190000,Average,0,0,0,0,11e
51m²,3 p.,2,917 000 €,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:W-02J8AQ
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",10,51,3,2,6,1,1,0,0,Unknown,0,0,917000,Average,0,0,0,0,10e
33m²,1 p.,-1,328 600 €,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",19,33,1,0,14,1,1,0,0,Unknown,0,1,328600,Tower,0,0,0,0,19e
38m²,2 p.,1,790 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02IC68
Etage du bien
:5e
Ascenseur
Nombre de salle de bain
:1",7,38,2,1,0,5,1,0,0,Unknown,0,0,790000,Average,0,0,0,0,7e
69m²,3 p.,2,995 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02J37L
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",4,69,3,2,5,1,1,0,0,Unknown,0,0,995000,Average,0,0,0,0,4e
207m²,5 p.,4,2 590 000 €,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:W-02IHOF
Etage du bien
:3e
Nombre d'étages du bâtiment
:4
Nombre de salle de bain
:2",11,207,5,4,4,3,2,0,0,Unknown,0,0,2590000,Average,0,0,0,0,11e
33m²,1 p.,-1,590 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02E6ZD
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",1,33,1,0,6,1,1,0,0,Unknown,0,0,590000,Average,0,0,0,0,1e
35m²,2 p.,1,630 000 €,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:W-02J1QD
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",8,35,2,1,6,0,1,0,Terrasse,Unknown,0,0,630000,Average,1,0,0,0,8e
21m²,2 p.,1,330 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02IKA2
Etage du bien
:7e
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:1",1,21,2,1,7,7,1,0,0,Unknown,0,0,330000,Average,0,0,0,1,1e
187m²,6 p.,3,2 360 000 €,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:W-02J57P
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:2",9,187,6,3,6,3,2,0,0,Unknown,0,0,2360000,Average,0,0,0,0,9e
260m²,8 p.,4,4 200 000 €,"Paris 16 (75116)
Paris","Ref de l'annonce
:W-02J2B3
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:4",16,260,8,4,5,5,4,0,Balcon,Unknown,0,0,4200000,Average,0,0,0,1,16e
73m²,3 p.,2,940 000 €,"Paris 16 (75116)
Paris","Ref de l'annonce
:W-02I1O6
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",16,73,3,2,6,1,1,0,0,Unknown,0,0,940000,Average,0,0,0,0,16e
51m²,2 p.,1,289 500 €,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:W-02HLSL
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",9,51,2,1,6,0,1,0,0,Unknown,0,0,289500,Average,1,0,0,0,9e
73m²,2 p.,1,1 460 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02I1D6
Etage du bien
:3e",1,73,2,1,0,3,0,0,0,Unknown,0,0,1460000,Average,0,0,0,0,1e
56m²,4 p.,2,1 099 000 €,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:W-02IU7I
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",9,56,4,2,6,1,1,0,0,Individuel,0,0,1099000,Average,0,0,1,0,9e
34m²,3 p.,1,1 210 000 €,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:W-02HNSU
Etage du bien
:3e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",8,34,3,1,5,3,1,1,0,Unknown,0,0,1210000,Average,0,0,0,0,8e
39m²,2 p.,1,1 000 000 €,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:W-02I5SR
Etage du bien
:5e
Nombre d'étages du bâtiment
:3
Sécurité
:Gardien
Nombre de salle de bain
:1",8,39,2,1,3,5,1,0,0,Unknown,0,0,1000000,Small,0,0,0,0,8e
157m²,1 p.,-1,450 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02ISLT
Terrasse/Balcon
:Terrasse, balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:1",16,157,1,0,7,5,1,0,"Terrasse, balcon",Unknown,0,0,450000,Average,0,0,0,0,16e
80m²,2 p.,1,700 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02EZGA
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",4,80,2,1,5,4,1,0,0,Unknown,0,0,700000,Average,0,0,0,0,4e
209m²,8 p.,4,2 290 000 €,Paris 18 (75018)|Jules Joffrin,"Ref de l'annonce
:202420RE6
Chauffage
:Individuel
Jardin
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:2",18,209,8,4,3,0,2,0,0,Individuel,0,0,2290000,Small,1,0,1,0,18e
143m²,3 p.,1,780 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02HWJK
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Meublé
Piscine
Nombre de salle de bain
:1",1,143,3,1,6,3,1,0,0,Unknown,0,0,780000,Average,0,0,0,0,1e
32m²,5 p.,3,1 800 000 €,"Paris 02 (75002)
Paris 2ème","Ref de l'annonce
:W-02GT3G
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Ascenseur
Accès handicapé
Nombre de salle de bain
:2",2,32,5,3,5,1,2,0,0,Unknown,0,0,1800000,Average,0,0,0,0,2e
66m²,1 p.,-1,395 000 €,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:W-02IYPR
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Piscine
Nombre de salle de bain
:1",1,66,1,0,6,2,1,0,0,Unknown,0,0,395000,Average,0,0,0,0,1e
24m²,2 p.,1,720 000 €,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:W-02HXLX
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Meublé
Nombre de salle de bain
:1",9,24,2,1,7,6,1,0,0,Unknown,0,0,720000,Average,0,0,0,0,9e
58m²,1 p.,-1,720 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02J5G3
Terrasse/Balcon
:Terrasse
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",4,58,1,0,6,5,1,0,Terrasse,Unknown,0,0,720000,Average,0,0,0,0,4e
37m²,2 p.,1,668 000 €,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:W-02HD7T
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",18,37,2,1,6,1,1,0,0,Unknown,0,0,668000,Average,0,0,0,0,18e
155m²,2 p.,1,600 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02I83H
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:1",16,155,2,1,7,6,1,0,Balcon,Unknown,0,0,600000,Average,0,0,0,0,16e
172m²,6 p.,3,1 790 000 €,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:W-02IWGA
Etage du bien
:3e
Nombre d'étages du bâtiment
:5
Sécurité
:Gardien
Nombre de salle de bain
:1",10,172,6,3,5,3,1,0,0,Unknown,0,0,1790000,Average,0,0,0,0,10e
36m²,4 p.,3,1 863 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02HVJH
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:2",16,36,4,3,6,1,2,0,0,Unknown,0,0,1863000,Average,0,0,0,0,16e
80m²,5 p.,3,2 290 000 €,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:W-02GI2A
Chauffage
:Au gaz
Etage du bien
:3e
Nombre d'étages du bâtiment
:7
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:3",8,80,5,3,7,3,3,0,0,Au gaz,0,0,2290000,Average,0,0,0,0,8e
53m²,2 p.,1,770 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02I90P
Etage du bien
:2e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",4,53,2,1,5,2,1,0,0,Unknown,0,0,770000,Average,0,0,0,0,4e
43m²,2 p.,1,600 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02I84M
Etage du bien
:7e
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:1",16,43,2,1,7,7,1,0,0,Unknown,0,0,600000,Average,0,0,0,1,16e
225m²,1 p.,-1,265 000 €,"Paris 03 (75003)
Paris 3ème","Ref de l'annonce
:W-02HTYW
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Ascenseur",3,225,1,0,6,1,0,0,0,Unknown,0,0,265000,Average,0,0,0,0,3e
150m²,3 p.,2,1 405 000 €,"Paris 03 (75003)
Paris 3ème","Ref de l'annonce
:W-02HO6A
Etage du bien
:1er
Nombre d'étages du bâtiment
:4
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",3,150,3,2,4,1,1,0,0,Unknown,0,0,1405000,Average,0,0,0,0,3e
84m²,3 p.,1,635 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02GN4Y
Nombre d'étages du bâtiment
:4
Nombre de salle de bain
:1",17,84,3,1,4,0,1,0,0,Unknown,0,0,635000,Average,1,0,0,0,17e
200m²,2 p.,1,640 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02HVE1
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",7,200,2,1,5,4,1,0,0,Unknown,0,0,640000,Average,0,0,0,0,7e
177m²,5 p.,3,1 990 000 €,"Paris 17 (75017)
PARIS","Ref de l'annonce
:202444RD2
Nombre d'étages du bâtiment
:6
Ascenseur",17,177,5,3,6,0,0,0,0,Unknown,0,0,1990000,Average,1,0,0,0,17e
48m²,2 p.,1,655 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02HUN0
Parking
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",17,48,2,1,6,3,1,0,0,Unknown,0,1,655000,Average,0,0,0,0,17e
89m²,5 p.,3,2 450 000 €,"Paris 19 (75019)
Paris 19ème","Ref de l'annonce
:W-02I2A7
Chauffage
:Central
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:3
Cave
Ascenseur
Piscine
Accès handicapé
Nombre de salle de bain
:2",19,89,5,3,3,0,2,1,Terrasse,Central,0,0,2450000,Small,1,1,0,0,19e
178m²,4 p.,3,900 000 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:W-02G08I
Chauffage
:Central
Etage du bien
:8e
Nombre d'étages du bâtiment
:30
Ascenseur
Accès handicapé
Nombre de salle de bain
:2",15,178,4,3,30,8,2,0,0,Central,0,0,900000,Tower,0,1,0,0,15e
77m²,6 p.,4,2 600 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02HVRY
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Piscine
Nombre de salle de bain
:2",17,77,6,4,6,5,2,1,Balcon,Unknown,0,1,2600000,Average,0,0,0,0,17e
250m²,3 p.,1,1 090 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02FUNX
Etage du bien
:1er
Nombre de salle de bain
:1",4,250,3,1,0,1,1,0,0,Unknown,0,0,1090000,Average,0,0,0,0,4e
600m²,3 p.,2,1 210 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02HKWB
Etage du bien
:1er
Nombre d'étages du bâtiment
:7
Ascenseur
Nombre de salle de bain
:2",7,600,3,2,7,1,2,0,0,Unknown,0,0,1210000,Average,0,0,0,0,7e
57m²,7 p.,4,4 250 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02F2FJ
Etage du bien
:3e
Nombre d'étages du bâtiment
:5
Ascenseur
Nombre de salle de bain
:4",4,57,7,4,5,3,4,0,0,Unknown,0,0,4250000,Average,0,0,0,0,4e
254m²,8 p.,3,3 000 000 €,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:W-02DU52
Parking
Nombre d'étages du bâtiment
:2
Nombre de salle de bain
:2",10,254,8,3,2,0,2,0,0,Unknown,0,1,3000000,Small,1,0,0,0,10e
116m²,2 p.,1,1 290 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:W-02C175
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",4,116,2,1,5,0,1,0,Terrasse,Unknown,0,0,1290000,Average,1,0,0,0,4e
86m²,3 p.,2,1 320 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02CUJY
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",7,86,3,2,7,6,1,0,Balcon,Unknown,0,1,1320000,Average,0,0,0,0,7e
182m²,5 p.,3,2 625 000 €,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:W-02DU4Y
Nombre d'étages du bâtiment
:6
Piscine
Nombre de salle de bain
:2",11,182,5,3,6,0,2,0,0,Unknown,0,0,2625000,Average,1,0,0,0,11e
83m²,5 p.,3,2 550 000 €,"Paris 05 (75005)
Paris 5ème","Ref de l'annonce
:W-02F7C9
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:2",5,83,5,3,6,2,2,1,Balcon,Unknown,0,0,2550000,Average,0,0,0,0,5e
73m²,6 p.,4,3 950 000 €,"Paris 07 (75007)
Champs de mars","Ref de l'annonce
:161463
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",7,73,6,4,6,4,1,1,0,Unknown,0,0,3950000,Average,0,0,0,0,7e
301m²,3 p.,2,1 500 000 €,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:161118
Etage du bien
:4e
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:2",7,301,3,2,0,4,2,1,0,Unknown,0,0,1500000,Average,0,0,0,0,7e
87m²,2 p.,1,750 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:159250
Terrasse/Balcon
:Terrasse
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",16,87,2,1,6,3,1,1,Terrasse,Unknown,0,0,750000,Average,0,0,0,0,16e
200m²,3 p.,2,835 000 €,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:3331
Terrasse/Balcon
:Terrasse
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Cave
Ascenseur
Nombre de salle de bain
:1",20,200,3,2,3,1,1,1,Terrasse,Unknown,0,0,835000,Small,0,0,0,0,20e
