Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,nb_bat,nb_good,nb_bain,Cave,balc_terr,Chauffage,Rénové,Parking,Chauffage_Central,Chauffage_Individuel
70m²,4 p.,3 p.,940 000 ,"Paris 03 (75003)
Arts et Métiers | Haut Marais","Ref de l'annonce
:796140
Chauffage
:Individuel, électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Cave",75003,70,5,1er,0,1,0,"Individuel, électrique",0,0,0,1
38m²,2 p.,1 p.,449 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:101181
Etage du bien
:6e
Nombre d'étages du bâtiment
:6",75018,38,6,6e,0,0,0,Unknown,0,0,0,0
24m²,1 p.,0 p.,269 000 ,"Paris 10 (75010)
République","Ref de l'annonce
:2678930
Etage du bien
:3e
Nombre d'étages du bâtiment
:4
Sécurité
:Gardien",75010,24,4,3e,0,0,0,Unknown,0,0,0,0
50m²,2 p.,1 p.,650 000 ,"Paris 18 (75018)
MAIRIE","Ref de l'annonce
:796899
Chauffage
:Individuel, électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave",75018,50,6,1er,0,1,0,"Individuel, électrique",0,0,0,1
55m²,3 p.,2 p.,655 000 ,"Paris 11 (75011)
Goncourt parmentier","Ref de l'annonce
:2518
Chauffage
:Individuel, au gaz
Etage du bien
:1er
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Accès handicapé",75011,55,7,1er,0,1,0,"Individuel, au gaz",0,0,0,1
69m²,3 p.,1 p.,789 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:2678256
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:8
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75016,69,8,6e,1,0,Balcon,Unknown,0,0,0,0
117m²,5 p.,4 p.,1 990 000 ,"Paris 07 (75007)
Gros-Caillou","Ref de l'annonce
:161086651
Rénové
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75007,117,8,2e,1,1,Terrasse,Unknown,1,1,0,0
80m²,4 p.,2 p.,920 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:3793689
Chauffage
:Individuel, au gaz
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",75017,80,6,1er,1,1,0,"Individuel, au gaz",0,0,0,1
203m²,6 p.,5 p.,5 140 000 ,"Paris 06 (75006)
Paris 6ème","Ref de l'annonce
:156127059
Etage du bien
:3e
Nombre d'étages du bâtiment
:5
Ascenseur
Nombre de salle de bain
:3",75006,203,5,3e,3,0,0,Unknown,0,0,0,0
39m²,2 p.,1 p.,870 000 ,"Paris 05 (75005)
Paris 5ème","Ref de l'annonce
:ESTRAPADE1BDR
Rénové
Etage du bien
:3e
Nombre d'étages du bâtiment
:3",75005,39,3,3e,0,0,0,Unknown,1,0,0,0
69m²,3 p.,2 p.,945 000 ,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:3728005
Chauffage
:Au gaz
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75007,69,7,2e,1,1,Balcon,Au gaz,0,0,0,0
79m²,3 p.,2 p.,770 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:3266
Chauffage
:Central
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75015,79,6,1er,1,1,0,Central,0,0,1,0
70m²,3 p.,2 p.,1 100 000 ,"Paris 17 (75017)|Pereire, Batignolles - Cardinet","Ref de l'annonce
:151144
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur",75017,70,8,2e,0,1,Terrasse,Unknown,0,1,0,0
22m²,2 p.,1 p.,258 940 ,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:2797
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:6",75009,22,6,4e,0,0,0,Individuel,0,0,0,1
53m²,2 p.,1 p.,500 000 ,"Paris 13 (75013)
Paris 13ème","Ref de l'annonce
:1045
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:15e
Nombre d'étages du bâtiment
:22
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",75013,53,22,15e,1,0,Balcon,Central,0,0,1,0
166m²,6 p.,3 p.,4 780 000 ,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:068
Chauffage
:Individuel, au gaz
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",75007,166,6,3e,1,0,0,"Individuel, au gaz",0,0,0,1
166m²,6 p.,3 p.,4 780 000 ,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:161066765
Chauffage
:Individuel, au gaz
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",75007,166,6,3e,1,0,0,"Individuel, au gaz",0,0,0,1
27m²,1 p.,0 p.,284 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:3300
Chauffage
:Individuel
Etage du bien
:2e
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:1",75011,27,3,2e,1,0,0,Individuel,0,0,0,1
12m²,1 p.,0 p.,185 000 ,"Paris 11 (75011)
PARIS","Ref de l'annonce
:42
Chauffage
:Individuel, électrique
Etage du bien
:6e
Nombre d'étages du bâtiment
:6",75011,12,6,6e,0,0,0,"Individuel, électrique",0,0,0,1
40m²,2 p.,1 p.,699 000 ,"Paris 07 (75007)
PARIS","Ref de l'annonce
:CDM709
Chauffage
:Individuel
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien",75007,40,6,3e,0,1,0,Individuel,0,0,0,1
163m²,4 p.,2 p.,2 659 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:DAN16
Rénové
Chauffage
:Central
Terrasse/Balcon
:Terrasse, balcon
Etage du bien
:4e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Nombre de salle de bain
:1",75016,163,7,4e,1,1,"Terrasse, balcon",Central,1,0,1,0
82m²,2 p.,1 p.,290 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:221 SAINT MAUR
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Cave",75010,82,5,4e,0,1,0,Unknown,0,0,0,0
83m²,1 p.,0 p.,165 500 ,"Paris 07 (75007)
PARIS 07","Chauffage
:électrique
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Ascenseur",75007,83,5,5e,0,0,0,électrique,0,0,0,0
228m²,4 p.,3 p.,731 500 ,"Paris 19 (75019)
PARIS 19EME ARRONDISSEMENT","Ref de l'annonce
:7501195483
Chauffage
:Au gaz
Garage
Terrasse/Balcon
:Terrasse
Etage du bien
:1er
Nombre d'étages du bâtiment
:8
Ascenseur
Nombre de salle de bain
:1",75019,228,8,1er,1,0,Terrasse,Au gaz,0,0,0,0
30m²,3 p.,1 p.,510 000 ,"Paris 12 (75012)
PARIS","Ref de l'annonce
:793797
Chauffage
:Central, au gaz
Etage du bien
:3e
Nombre d'étages du bâtiment
:3
Cave
Ascenseur
Sécurité
:Gardien",75012,30,3,3e,0,1,0,"Central, au gaz",0,0,1,0
184m²,1 p.,0 p.,498 750 ,"Paris 07 (75007)
Saint dominique gros caillou","Ref de l'annonce
:WM2-273
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Ascenseur",75007,184,6,6e,0,0,Balcon,Unknown,0,0,0,0
101m²,1 p.,0 p.,387 000 ,"Paris 06 (75006)
Paris 6ème","Ref de l'annonce
:STUDIO JACOB
Rénové
Chauffage
:Individuel
Parking
Etage du bien
:3e
Nombre d'étages du bâtiment
:3
Sécurité
:Gardien
Nombre de salle de bain
:1",75006,101,3,3e,1,0,0,Individuel,1,1,0,1
38m²,2 p.,1 p.,667 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:PLHVSG683
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Cave",75004,38,5,5e,0,1,0,Unknown,0,0,0,0
-1,2 p.,1 p.,360 000 ,"Paris 18 (75018)
Goutte-d'Or","Ref de l'annonce
:160596059
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Meublé",75018,-1,6,1er,0,0,0,Unknown,0,0,0,0
154m²,5 p.,3 p.,2 100 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:161037933
Chauffage
:Individuel, au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75016,154,6,5e,1,1,Balcon,"Individuel, au gaz",0,1,0,1
64m²,3 p.,2 p.,662 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:170
Terrasse/Balcon
:Terrasse
Etage du bien
:7e
Nombre d'étages du bâtiment
:10
Nombre de salle de bain
:1",75015,64,10,7e,1,0,Terrasse,Unknown,0,0,0,0
8m²,1 p.,0 p.,75 000 ,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:3287120
Etage du bien
:6e
Nombre d'étages du bâtiment
:6",75009,8,6,6e,0,0,0,Unknown,0,0,0,0
29m²,2 p.,1 p.,390 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:3256646
Chauffage
:Au gaz
Etage du bien
:4e
Nombre d'étages du bâtiment
:5",75018,29,5,4e,0,0,0,Au gaz,0,0,0,0
25m²,2 p.,1 p.,299 950 ,"Paris 11 (75011)
Folie Méricourt - Goncourt","Ref de l'annonce
:941004A01191
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",75011,25,6,1er,0,0,0,Unknown,0,0,0,0
112m²,5 p.,3 p.,1 050 000 ,"Paris 15 (75015)|Pasteur - Montparnasse, Dupleix...","Ref de l'annonce
:105 rue Leblanc
Chauffage
:Central
Garage
Terrasse/Balcon
:Terrasse
Etage du bien
:13e
Nombre d'étages du bâtiment
:16
Cave
Ascenseur
Nombre de salle de bain
:2",75015,112,16,13e,2,1,Terrasse,Central,0,0,1,0
55m²,3 p.,2 p.,915 000 ,"Paris 06 (75006)
Métro: RENNES","Ref de l'annonce
:062
Chauffage
:Central
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",75006,55,6,2e,1,0,0,Central,0,0,1,0
87m²,4 p.,3 p.,935 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:RUE LACAILLE
Chauffage
:Au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75017,87,6,2e,1,1,Balcon,Au gaz,0,1,0,0
8m²,1 p.,0 p.,100 000 ,"Paris 06 (75006)
Notre-Dame-des-Champs","Ref de l'annonce
:4064310
Chauffage
:Individuel, électrique
Etage du bien
:7e
Nombre d'étages du bâtiment
:7
Sécurité
:Gardien",75006,8,7,7e,0,0,0,"Individuel, électrique",0,0,0,1
49m²,2 p.,1 p.,785 000 ,Paris 17 (75017)|Courcelles - Wagram,"Ref de l'annonce
:3998710
Chauffage
:Central, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Nombre de salle de bain
:1",75017,49,5,5e,1,1,0,"Central, au gaz",0,0,1,0
82m²,4 p.,3 p.,620 000 ,"Paris 20 (75020)
PARIS 20","Ref de l'annonce
:31267194
Chauffage
:Central
Etage du bien
:15e
Nombre d'étages du bâtiment
:30
Cave
Ascenseur",75020,82,30,15e,0,1,0,Central,0,0,1,0
33m²,1 p.,0 p.,328 600 ,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",75019,33,14,1er,1,0,0,Unknown,0,1,0,0
60m²,2 p.,1 p.,720 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:VA1962-MYHOMEPARIS
Etage du bien
:2e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",75011,60,5,2e,1,0,0,Unknown,0,0,0,0
83m²,3 p.,2 p.,1 300 000 ,"Paris 02 (75002)
Paris 2ème","Ref de l'annonce
:3970839
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Nombre de salle de bain
:1",75002,83,5,1er,1,1,0,Unknown,0,0,0,0
118m²,5 p.,3 p.,1 598 000 ,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:1330
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75008,118,6,3e,1,1,0,Unknown,0,0,0,0
40m²,2 p.,1 p.,472 500 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:3626174
Etage du bien
:3e
Nombre d'étages du bâtiment
:3
Ascenseur",75015,40,3,3e,0,0,0,Unknown,0,0,0,0
77m²,3 p.,2 p.,1 365 000 ,"Paris 05 (75005)
Sorbonne","Ref de l'annonce
:ISL/HB/9175/V
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Sécurité
:Gardien",75005,77,4,4e,0,1,0,Central,0,0,1,0
61m²,3 p.,1 p.,945 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:MA-1939
Rénové
Chauffage
:électrique
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave",75004,61,6,4e,0,1,0,électrique,1,0,0,0
108m²,3 p.,1 p.,1 340 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:JS-1706
Rénové
Chauffage
:électrique
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur",75010,108,5,5e,0,1,0,électrique,1,0,0,0
83m²,4 p.,2 p.,1 580 000 ,"Paris 06 (75006)
Rennes","Ref de l'annonce
:621RGAS
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:4e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75006,83,9,4e,1,1,Balcon,Central,0,0,1,0
35m²,3 p.,1 p.,698 000 ,Paris 03 (75003)|Archives,"Ref de l'annonce
:187184860
Chauffage
:électrique
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave",75003,35,6,3e,0,1,0,électrique,0,0,0,0
61m²,2 p.,1 p.,772 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:131704516
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:8
Meublé
Cave
Ascenseur",75016,61,8,4e,0,1,0,Central,0,0,1,0
41m²,3 p.,1 p.,548 000 ,Paris 17 (75017)|Ternes - Maillot,"Ref de l'annonce
:144777
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Ascenseur",75017,41,6,6e,0,0,Balcon,Unknown,0,0,0,0
8m²,1 p.,1 p.,84 000 ,"Paris 17 (75017)
PARIS 17","Ref de l'annonce
:31342741
Chauffage
:Individuel, électrique
Etage du bien
:6e
Nombre d'étages du bâtiment
:6",75017,8,6,6e,0,0,0,"Individuel, électrique",0,0,0,1
105m²,5 p.,5 p.,985 000 ,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:AMZ5526
Chauffage
:Central
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75020,105,9,1er,1,1,0,Central,0,1,1,0
74m²,4 p.,2 p.,885 000 ,"Paris 16 (75116)
Paris","Ref de l'annonce
:2035
Chauffage
:Individuel, au gaz
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75016,74,6,2e,1,1,0,"Individuel, au gaz",0,0,0,1
46m²,2 p.,1 p.,517 000 ,"Paris 13 (75013)
Paris 13ème","Ref de l'annonce
:1151
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",75013,46,6,4e,1,1,0,Unknown,0,0,0,0
128m²,5 p.,4 p.,1 690 000 ,"Paris 13 (75013)
Paris 13ème","Ref de l'annonce
:AVS508
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:10e
Nombre d'étages du bâtiment
:15
Cave
Ascenseur
Nombre de salle de bain
:1",75013,128,15,10e,1,1,Balcon,Unknown,0,1,0,0
46m²,3 p.,2 p.,575 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:8198
Chauffage
:Central
Etage du bien
:6e
Nombre d'étages du bâtiment
:11
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75015,46,11,6e,1,1,0,Central,0,0,1,0
95m²,4 p.,3 p.,1 100 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:8203
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",75015,95,6,2e,1,0,Balcon,Unknown,0,0,0,0
82m²,3 p.,2 p.,1 150 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:2208
Terrasse/Balcon
:Terrasse
Etage du bien
:3e
Nombre d'étages du bâtiment
:7
Nombre de salle de bain
:1",75016,82,7,3e,1,0,Terrasse,Unknown,0,0,0,0
56m²,2 p.,1 p.,665 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:2979
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75011,56,6,1er,1,1,0,Individuel,0,0,0,1
133m²,5 p.,3 p.,2 317 500 ,"Paris 06 (75006)
Cherche-Midi","Ref de l'annonce
:cm
Chauffage
:Central
Etage du bien
:3e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Nombre de salle de bain
:1",75006,133,7,3e,1,1,0,Central,0,0,1,0
90m²,4 p.,2 p.,1 398 000 ,"Paris 15 (75015)
PARIS","Ref de l'annonce
:SCH227
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75015,90,6,4e,1,1,0,Central,0,0,1,0
36m²,2 p.,1 p.,406 000 ,Paris 11 (75011)|Nation - Alexandre Dumas,"Ref de l'annonce
:406
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur",75011,36,6,4e,0,1,0,Unknown,0,0,0,0
21m²,1 p.,0 p.,310 000 ,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:VA1966-RDTPARISIENS-
Chauffage
:électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",75001,21,6,1er,0,0,0,électrique,0,0,0,0
100m²,6 p.,4 p.,975 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:487
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",75018,100,6,5e,1,1,0,Unknown,0,0,0,0
43m²,2 p.,1 p.,439 000 ,"Paris 18 (75018)
Gare du nord La chapelle Marx Dormoy","Ref de l'annonce
:501
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Nombre de salle de bain
:1",75018,43,4,2e,1,1,0,Unknown,0,0,0,0
45m²,2 p.,1 p.,445 000 ,"Paris 20 (75020)
Métro Gambetta","Ref de l'annonce
:422
Chauffage
:Central
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75020,45,6,3e,1,1,0,Central,0,0,1,0
43m²,3 p.,2 p.,400 000 ,"Paris 13 (75013)
Porte d'Italie","Ref de l'annonce
:398
Chauffage
:Au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Sécurité
:Gardien",75013,43,7,5e,0,1,0,Au gaz,0,0,0,0
61m²,3 p.,1 p.,524 700 ,"Paris 17 (75017)
Porte maillot","Ref de l'annonce
:433
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:9e
Nombre d'étages du bâtiment
:14
Cave
Ascenseur
Sécurité
:Gardien
Accès handicapé
Nombre de salle de bain
:1",75017,61,14,9e,1,1,Terrasse,Unknown,0,1,0,0
68m²,3 p.,2 p.,720 000 ,"Paris 18 (75018)
La Chapelle | Barbès","Ref de l'annonce
:301
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Ascenseur",75018,68,6,4e,0,0,0,Unknown,0,0,0,0
