Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,Heating_Central,Heating_Individual,Price_int,Last_floor
25m²,2 p.,1 p.,385 000 ,"Paris 02 (75002)
Paris 2ème","Ref de l'annonce
:524
Etage du bien
:3e
Nombre d'étages du bâtiment
:6",2,3.2188758248682006,6,3,1,0,0,Unknown,0,0,0,0,12.86099861326992,0
102m²,4 p.,3 p.,1 172 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:403
Chauffage
:Individuel
Terrasse/Balcon
:Terrasse
Etage du bien
:4e
Nombre d'étages du bâtiment
:4
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",18,4.624972813284271,4,4,1,0,Terrasse,Individuel,0,0,0,1,13.974222249119094,1
23m²,1 p.,0 p.,313 500 ,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:1315
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:5",1,3.1354942159291497,5,4,1,0,0,Individuel,0,0,0,1,12.655554639055113,0
69m²,3 p.,2 p.,850 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:6711
Terrasse/Balcon
:Balcon
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",17,4.23410650459726,9,8,1,1,Balcon,Unknown,0,0,0,0,13.652991628466498,0
91m²,4 p.,3 p.,980 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:266d2d
Chauffage
:Individuel
Etage du bien
:3e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",18,4.51085950651685,7,3,1,1,0,Individuel,0,0,0,1,13.795307850646754,0
79m²,3 p.,1 p.,1 190 000 ,"Paris 02 (75002)
Bourse","Ref de l'annonce
:379
Chauffage
:Individuel, au gaz
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",2,4.3694478524670215,6,6,1,1,0,"Individuel, au gaz",0,0,0,1,13.989463865087712,1
40m²,2 p.,1 p.,400 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:404
Chauffage
:Individuel, au gaz
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Sécurité
:Gardien",18,3.6888794541139363,6,1,1,1,0,"Individuel, au gaz",0,0,0,1,12.89921982609012,0
48m²,2 p.,1 p.,625 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:117
Etage du bien
:3e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Nombre de salle de bain
:1",11,3.871201010907891,5,3,1,1,0,Unknown,0,0,0,0,13.345506928718539,0
51m²,3 p.,2 p.,575 000 ,"Paris 12 (75012)
Paris 12ème","Ref de l'annonce
:LKM31905
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur",12,3.9318256327243257,6,1,1,1,0,Unknown,0,0,0,0,13.262125319779487,0
67m²,4 p.,2 p.,840 000 ,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:528
Chauffage
:Au gaz
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",9,4.204692619390966,6,5,1,1,Balcon,Au gaz,0,0,0,0,13.641157170819497,0
63m²,3 p.,2 p.,630 000 ,"Paris 14 (75014)
Paris 14ème","Ref de l'annonce
:ALESIA2
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:15e
Nombre d'étages du bâtiment
:16
Sécurité
:Gardien
Nombre de salle de bain
:1",14,4.143134726391533,16,15,1,0,Balcon,Central,0,0,1,0,13.353475098367715,0
57m²,3 p.,2 p.,575 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:JS/Belfort.a
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",11,4.04305126783455,6,1,1,1,0,Unknown,0,0,0,0,13.262125319779487,0
60m²,3 p.,2 p.,830 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:VB/90voltaire.a
Rénové
Chauffage
:électrique
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur",11,4.0943445622221,6,3,1,1,0,électrique,1,0,0,0,13.62918097977278,0
169m²,5 p.,4 p.,2 070 000 ,"Paris 03 (75003)
Temple","Ref de l'annonce
:162109415
Chauffage
:Individuel
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",3,5.1298987149230735,4,2,1,1,0,Individuel,0,0,0,1,14.543059165241552,0
39m²,2 p.,1 p.,446 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:5470
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Meublé
Cave
Ascenseur",11,3.6635616461296463,6,1,1,1,0,Unknown,0,0,0,0,13.008074231002201,0
47m²,2 p.,1 p.,467 000 ,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:LKM31445
Chauffage
:Au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",20,3.8501476017100584,9,5,1,1,Balcon,Au gaz,0,1,0,0,13.054084536651034,0
54m²,3 p.,2 p.,610 000 ,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:c25cc5
Chauffage
:Central
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",20,3.9889840465642745,6,2,1,1,0,Central,0,0,1,0,13.321214236149494,0
94m²,3 p.,2 p.,1 450 000 ,"Paris 03 (75003)
Paris 3ème","Ref de l'annonce
:TG-STG
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",3,4.543294782270004,5,1,1,0,0,Unknown,0,0,0,0,14.187074114396758,0
42m²,2 p.,1 p.,610 000 ,"Paris 03 (75003)
Paris 3ème","Ref de l'annonce
:CT2098
Rénové
Chauffage
:électrique
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur",3,3.7376696182833684,6,5,1,1,0,électrique,1,0,0,0,13.321214236149494,0
51m²,2 p.,1 p.,638 600 ,"Paris 05 (75005)
Val-de-Grâce","Ref de l'annonce
:ISL/FCF/9266/V
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur",5,3.9318256327243257,4,4,1,1,0,Individuel,0,0,0,1,13.367033559262818,1
64m²,3 p.,2 p.,963 000 ,"Paris 01 (75001)
Tous commerces","Ref de l'annonce
:545
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",1,4.1588830833596715,6,4,1,0,0,Central,0,0,1,0,13.777808690780263,0
35m²,1 p.,0 p.,349 000 ,"Paris 14 (75014)
Paris 14ème","Ref de l'annonce
:115
Chauffage
:Au gaz
Etage du bien
:4e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Nombre de salle de bain
:1",14,3.5553480614894135,9,4,1,1,0,Au gaz,0,0,0,0,12.762827201184564,0
71m²,3 p.,1 p.,780 000 ,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:162009865
Chauffage
:Central
Parking
Terrasse/Balcon
:Terrasse, balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",20,4.2626798770413155,6,5,1,1,"Terrasse, balcon",Central,0,1,1,0,13.567049198665774,0
52m²,2 p.,1 p.,585 000 ,"Paris 15 (75015)
Lourmel","Ref de l'annonce
:0217
Chauffage
:Individuel
Terrasse/Balcon
:Terrasse
Etage du bien
:6e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",15,3.9512437185814275,8,6,1,1,Terrasse,Individuel,0,0,0,1,13.279367126213993,0
85m²,4 p.,2 p.,830 000 ,"Paris 15 (75015)
Porte de versailles","Ref de l'annonce
:0218
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",15,4.442651256490317,8,4,1,1,0,Central,0,0,1,0,13.62918097977278,0
74m²,4 p.,2 p.,930 000 ,"Paris 15 (75015)
Vaugirard","Ref de l'annonce
:0201
Terrasse/Balcon
:Terrasse, balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur",15,4.30406509320417,6,5,1,1,"Terrasse, balcon",Unknown,0,0,0,0,13.742939865129438,0
31m²,1 p.,0 p.,387 000 ,"Paris 15 (75015)
Convention","Ref de l'annonce
:0210
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Ascenseur",15,3.4339872044851463,3,1,1,0,Balcon,Central,0,0,1,0,12.866179972011919,0
27m²,1 p.,0 p.,387 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:LKM31279
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:9e
Nombre d'étages du bâtiment
:10
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",15,3.295836866004329,10,9,1,0,Balcon,Central,0,0,1,0,12.866179972011919,0
25m²,2 p.,1 p.,343 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:DAABBESS0510
Rénové
Etage du bien
:2e
Nombre d'étages du bâtiment
:5
Cave
Nombre de salle de bain
:1",18,3.2188758248682006,5,2,1,1,0,Unknown,1,0,0,0,12.745485726148077,0
40m²,2 p.,1 p.,589 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:3915081
Chauffage
:Individuel, au gaz
Etage du bien
:2e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",4,3.6888794541139363,5,2,1,0,0,"Individuel, au gaz",0,0,0,1,13.286181462633724,0
17m²,2 p.,1 p.,365 000 ,"Paris 16 (75116)
Paris","Ref de l'annonce
:d2117f
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:4
Ascenseur
Nombre de salle de bain
:1",16,2.833213344056216,4,4,1,0,0,Individuel,0,0,0,1,12.80765263256463,1
138m²,6 p.,4 p.,1 570 000 ,"Paris 15 (75015)
Javel","Ref de l'annonce
:BQT/EB/9317/V
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:13e
Nombre d'étages du bâtiment
:13
Cave
Ascenseur
Sécurité
:Gardien
Accès handicapé
Nombre de salle de bain
:1",15,4.927253685157205,13,13,1,1,Balcon,Unknown,0,1,0,0,14.266586177324491,1
21m²,1 p.,0 p.,310 000 ,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:JSSD
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",1,3.044522437723423,6,1,1,0,0,Unknown,0,0,0,0,12.644327576461329,0
69m²,3 p.,2 p.,820 000 ,"Paris 11 (75011)
Commerces, écoles, restaurants, parcs","Ref de l'annonce
:543
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",11,4.23410650459726,6,4,1,1,0,Individuel,0,0,0,1,13.617059619240436,0
107m²,4 p.,2 p.,1 030 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:0149
Chauffage
:Central
Terrasse/Balcon
:Terrasse
Etage du bien
:9e
Nombre d'étages du bâtiment
:9
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",18,4.672828834461906,9,9,1,0,Terrasse,Central,0,0,1,0,13.845069360205818,1
28m²,1 p.,0 p.,372 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:b4ea6d
Chauffage
:Individuel
Terrasse/Balcon
:Balcon
Etage du bien
:7e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",15,3.332204510175204,8,7,1,1,Balcon,Individuel,0,0,0,1,12.826649133255284,0
32m²,2 p.,1 p.,371 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:161903481
Chauffage
:Central
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien",16,3.4657359027997265,6,4,1,1,0,Central,0,0,1,0,12.823957341589573,0
124m²,5 p.,3 p.,1 840 000 ,"Paris 17 (75017)
Pont Cardinet, Brochant","Ref de l'annonce
:9236MEL
Chauffage
:Central
Parking
Terrasse/Balcon
:Terrasse, balcon
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",17,4.820281565605037,6,1,1,1,"Terrasse, balcon",Central,0,1,1,0,14.425276129585168,0
74m²,3 p.,2 p.,745 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:LKM29165
Chauffage
:Individuel, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Nombre de salle de bain
:1",18,4.30406509320417,5,5,1,0,0,"Individuel, au gaz",0,0,0,1,13.521139497361697,1
63m²,3 p.,2 p.,978 000 ,"Paris 18 (75018)
Abbesses","Ref de l'annonce
:1534LSD-2
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien",18,4.143134726391533,6,4,1,1,0,Individuel,0,0,0,1,13.793264949016955,0
60m²,3 p.,2 p.,700 000 ,"Paris 10 (75010)
Porte Saint denis | paradis","Ref de l'annonce
:UB87-782-SL
Chauffage
:Individuel
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",10,4.0943445622221,6,5,1,0,0,Individuel,0,0,0,1,13.458835614025542,0
48m²,2 p.,1 p.,550 000 ,"Paris 20 (75020)
Paris 20ème","Ref de l'annonce
:b9cf08
Chauffage
:Individuel
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",20,3.871201010907891,6,1,1,1,0,Individuel,0,1,0,1,13.217673557208654,0
79m²,3 p.,2 p.,760 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:3849188
Chauffage
:Au gaz
Terrasse/Balcon
:Balcon
Etage du bien
:1er
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Nombre de salle de bain
:1",17,4.3694478524670215,8,1,1,1,Balcon,Au gaz,0,0,0,0,13.541073712262515,0
34m²,2 p.,1 p.,400 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:LKM30521
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",10,3.5263605246161616,6,3,1,1,0,Unknown,0,0,0,0,12.89921982609012,0
80m²,4 p.,2 p.,1 040 000 ,"Paris 18 (75018)
Abbesses","Ref de l'annonce
:1535LSD
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",18,4.382026634673881,6,4,1,1,0,Individuel,0,0,0,1,13.854731271117556,0
44m²,2 p.,1 p.,595 000 ,36 RUE PIERRE SEMARD 75009 Paris 9e,"Ref de l'annonce
:161766107
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave",9,3.784189633918261,6,2,1,1,0,Unknown,0,0,0,0,13.296316684527767,0
30m²,1 p.,0 p.,362 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:161766109
Chauffage
:Central
Etage du bien
:5e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",10,3.4011973816621555,8,5,1,1,0,Central,0,0,1,0,12.799399490807907,0
55m²,2 p.,1 p.,710 000 ,"Paris 17 (75017)
Batignolles","Ref de l'annonce
:3060
Etage du bien
:1er
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",17,4.007333185232471,6,1,1,1,0,Unknown,0,0,0,0,13.473020249017498,0
27m²,1 p.,0 p.,387 000 ,"Paris 15 (75015)
Métro Charles Michel","Ref de l'annonce
:540
Chauffage
:Au gaz
Terrasse/Balcon
:Balcon
Etage du bien
:9e
Nombre d'étages du bâtiment
:10
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",15,3.295836866004329,10,9,1,1,Balcon,Au gaz,0,0,0,0,12.866179972011919,0
83m²,4 p.,3 p.,849 000 ,"Paris 19 (75019)
Canal de l'Ourcq, Parc de la Villette, Buttes Chaumont","Ref de l'annonce
:539
Parking
Etage du bien
:13e
Nombre d'étages du bâtiment
:29
Cave
Ascenseur
Sécurité
:Gardien
Accès handicapé
Nombre de salle de bain
:1",19,4.418840607796598,29,13,1,1,0,Unknown,0,1,0,0,13.651814465293484,0
32m²,1 p.,0 p.,282 000 ,"Paris 13 (75013)
Paris 13ème","Ref de l'annonce
:LKM30194
Chauffage
:Au gaz
Parking
Etage du bien
:8e
Nombre d'étages du bâtiment
:31
Cave
Ascenseur
Sécurité
:Gardien",13,3.4657359027997265,31,8,1,1,0,Au gaz,0,1,0,0,12.54966234992025,0
65m²,3 p.,2 p.,775 000 ,"Paris 12 (75012)
Paris 12ème","Ref de l'annonce
:LKM20127
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",12,4.174387269895637,6,3,1,1,0,Unknown,0,0,0,0,13.560618308335483,0
50m²,3 p.,1 p.,635 000 ,"Paris 18 (75018)
Blanche","Ref de l'annonce
:1524LCHB2
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave",18,3.912023005428146,6,2,1,1,0,Unknown,0,0,0,0,13.36138027787483,0
117m²,6 p.,3 p.,1 250 000 ,"Paris 10 (75010)
Louis Blanc, Stalingrad","Ref de l'annonce
:264PMYF
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",10,4.762173934797756,6,6,1,1,0,Unknown,0,0,0,0,14.038654109278484,1
27m²,2 p.,1 p.,384 000 ,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:086
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",7,3.295836866004329,6,5,1,1,0,Unknown,0,0,0,0,12.858397831569864,0
38m²,2 p.,1 p.,349 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:21-LERESEAUIMMO
Rénové
Etage du bien
:3e
Nombre d'étages du bâtiment
:4",18,3.6375861597263857,4,3,1,0,0,Unknown,1,0,0,0,12.762827201184564,0
95m²,3 p.,1 p.,1 390 000 ,"Paris 02 (75002)
Paris 2ème","Ref de l'annonce
:PO-6517
Chauffage
:Individuel
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien",2,4.553876891600541,5,5,1,1,0,Individuel,0,0,0,1,14.144814305106875,1
91m²,4 p.,2 p.,1 135 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:LKM26408
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:8
Cave
Ascenseur
Sécurité
:Gardien",15,4.51085950651685,8,2,1,1,Balcon,Central,0,0,1,0,13.94214320889764,0
136m²,5 p.,3 p.,1 590 000 ,"Paris 10 (75010)
Métro Jacques Bonsergent","Ref de l'annonce
:1818
Chauffage
:Individuel, au gaz
Terrasse/Balcon
:Balcon
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:2",10,4.912654885736052,6,3,2,1,Balcon,"Individuel, au gaz",0,0,0,1,14.279244574196415,0
158m²,2 p.,1 p.,595 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:3715974
Chauffage
:Au gaz
Etage du bien
:1er
Nombre d'étages du bâtiment
:7
Cave",15,5.062595033026967,7,1,1,1,0,Au gaz,0,0,0,0,13.296316684527767,0
90m²,5 p.,3 p.,960 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:1355GM
Rénové
Chauffage
:Central
Etage du bien
:2e
Nombre d'étages du bâtiment
:3
Cave
Nombre de salle de bain
:1",15,4.499809670330265,3,2,1,1,0,Central,1,0,1,0,13.77468856344402,0
52m²,4 p.,2 p.,1 045 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:161566563
Chauffage
:Central
Terrasse/Balcon
:Balcon
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Nombre de salle de bain
:1",16,3.9512437185814275,7,6,1,1,Balcon,Central,0,0,1,0,13.85952744338105,0
18m²,2 p.,1 p.,630 000 ,"Paris 09 (75009)
Blanche","Ref de l'annonce
:1519CMF
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",9,2.8903717578961645,6,6,1,0,0,Unknown,0,0,0,0,13.353475098367715,1
33m²,1 p.,0 p.,328 600 ,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",19,3.4965075614664802,14,1,1,0,0,Unknown,0,1,0,0,12.702596484585305,0
29m²,1 p.,0 p.,457 000 ,"Paris 16 (75116)
Paris","Ref de l'annonce
:W-02I86Q
Etage du bien
:3e
Nombre d'étages du bâtiment
:6
Ascenseur
Nombre de salle de bain
:1",16,3.367295829986474,6,3,1,0,0,Unknown,0,0,0,0,13.032438669876342,0
122m²,5 p.,3 p.,1 627 500 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:W-02J8AM
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:10
Sécurité
:Gardien
Nombre de salle de bain
:2",16,4.804021044733257,10,2,2,0,Balcon,Unknown,0,0,0,0,14.30255565306486,0
96m²,4 p.,3 p.,1 295 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02J2DP
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:2",17,4.564348191467836,6,4,2,0,0,Unknown,0,0,0,0,14.074021253115776,0
30m²,2 p.,1 p.,360 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:W-02INGA
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Nombre de salle de bain
:1",18,3.4011973816621555,4,2,1,0,0,Unknown,0,0,0,0,12.793859310432293,0
30m²,2 p.,1 p.,410 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:W-02IU65
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",17,3.4011973816621555,5,4,1,0,0,Unknown,0,0,0,0,12.92391243868049,0
66m²,3 p.,2 p.,875 000 ,"Paris 09 (75009)
Paris 9ème","Ref de l'annonce
:W-02J8HR
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",9,4.189654742026425,6,4,1,0,0,Individuel,0,0,0,1,13.681979165339751,0
47m²,2 p.,1 p.,740 000 ,"Paris 07 (75007)
Paris 7ème","Ref de l'annonce
:W-02E0P8
Etage du bien
:2e
Nombre d'étages du bâtiment
:8
Nombre de salle de bain
:1",7,3.8501476017100584,8,2,1,0,0,Unknown,0,0,0,0,13.514405465180353,0
30m²,1 p.,0 p.,620 000 ,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:W-02IPYS
Etage du bien
:4e
Nombre d'étages du bâtiment
:5",8,3.4011973816621555,5,4,1,0,0,Unknown,0,0,0,0,13.337474757021274,0
